Unnamed: 0,INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,DEP_INC_PCT_H2,MD_INC_WDRAW_2YR_TRANS_YR4_RT,IND_COMP_4YR_TRANS_YR4_RT,SD_EARN_WNE_P10,FEMALE_WDRAW_4YR_TRANS_YR6_RT,LO_INC_COMP_2YR_TRANS_YR3_RT,NOLOAN_COMP_ORIG_YR4_RT,OPENADMP,PELL_COMP_4YR_TRANS_YR3_RT,DEATH_YR2_RT,NOLOAN_UNKN_ORIG_YR2_RT,NOT1STGEN_WDRAW_ORIG_YR6_RT,HI_INC_YR8_N,CUML_DEBT_P90,C100_L4
3098,Philadelphia College of Osteopathic Medicine,Philadelphia,PA,19131,2,,,,,,2,,,,,,,,,,,,,,,
3099,University of the Sciences,Philadelphia,PA,19104-4495,2,0.6076,1227.0,39994.0,39994.0,1268.0,2,,,,,,,,2.0,,,,,,,
3100,Community College of Philadelphia,Philadelphia,PA,19130-3991,1,,,5142.0,15426.0,16012.0,2,,,,,,,,1.0,,,,,,,0.0319
3101,University of Pittsburgh-Bradford,Bradford,PA,16701,1,0.5436,1077.0,13900.0,25144.0,1296.0,2,,,,,,,,2.0,,,,,,,
3102,University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,1,0.7327,1101.0,13870.0,25114.0,1521.0,2,,,,,,,,2.0,,,,,,,
3103,University of Pittsburgh-Johnstown,Johnstown,PA,15904,1,0.7598,1105.0,13876.0,25120.0,2776.0,2,,,,,,,,2.0,,,,,,,
3104,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,1,0.5971,1349.0,19080.0,30642.0,19134.0,2,,,,,,,,2.0,,,,,,,
3105,University of Pittsburgh-Titusville,Titusville,PA,16354,1,0.6311,955.0,11788.0,21532.0,292.0,2,,,,,,,,2.0,,,,,,,0.1503
3106,Beaver Falls Beauty Academy,Beaver Falls,PA,15010-4208,3,,,,,36.0,2,,,,,,,,1.0,,,,,,,0.7647
3107,Pittsburgh Institute of Aeronautics,West Mifflin,PA,15122,2,,,20945.0,20945.0,409.0,2,,,,,,,,1.0,,,,,,,0.6333
3108,Pittsburgh Institute of Mortuary Science Inc,Pittsburgh,PA,15206-3706,2,0.8058,,,,209.0,2,,,,,,,,2.0,,,,,,,0.8148
3109,Pittsburgh Technical College,Oakdale,PA,15071,2,,,16817.0,16817.0,1828.0,2,,,,,,,,1.0,,,,,,,
3110,Pittsburgh Theological Seminary,Pittsburgh,PA,15206-2596,2,,,,,,2,,,,,,,,,,,,,,,
3111,Point Park University,Pittsburgh,PA,15222-1984,2,0.6486,1091.0,30130.0,30130.0,3230.0,2,,,,,,,,2.0,,,,,,,
3112,Joseph F McCloskey School of Nursing at Schuylkill Health,Pottsville,PA,17901,2,,,,,63.0,2,,,,,,,,,,,,,,,
3113,The Salon Professional Academy-Altoona,Altoona,PA,16601-2419,3,,,,,69.0,2,,,,,,,,1.0,,,,,,,0.8125
